"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"dog","cat","bird","cow","snake","turtle","bug","lion","tiger","camel","kangaroo","elephant","monkey","gorilla","fish","hamster","pig","chicken","","","","","","","","","","","","","","","","",""
"cat","dog","horse","bear","snake","cow","panda","fish","turtle","monkey","gorilla","shark","girrafe","zebra","horse","cat","gerbil","","","","","","","","","","","","","","","","","",""
"horse","dog","cat","rabbit","rat","pig","cow","chicken","bird","whale","fish","alligator","mouse","zebra","lion","tiger","bear","chinchilla","","","","","","","","","","","","","","","","",""
"pig","cow","dog","sheep","elephant","rat","mouse","lamb","lama","tiger","lion","sheep","bear","fish","alligator","ox","horse","duck","hen","turkey","","","","","","","","","","","","","","",""
"tiger","lion","iguana","elephant","cat","dog","mouse","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"elephant","tiger","bear","alligator","dog","cat","mouse","rhino","wolf","moose","elk","snake","ant","lion","fly","mosquito","monkey","giraffe","dhole","deer","goat","sheep","fish","shark","","","","","","","","","","",""
"elephant","dog","cat","zebra","cow","mouse","pig","giraffe","lion","tiger","otter","fish","shark","horse","ferret","jaguar","cobra","bird","snake","","","","","","","","","","","","","","","",""
"cat","dog","giraffe","elephant","zebra","horse","donkey","squirrel","snake","frog","tiger","lion","bear","liger","cougar","rhino","hippo","deer","","","","","","","","","","","","","","","","",""
"dog","cat","cow","chicken","shark","dolphin","elephant","lion","tiger","cheetah","panda","koala","girrafe","spider","frog","monkey","racoon","","","","","","","","","","","","","","","","","",""
"dog cat mose moose horse lion tiger bear dear doe pig cow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cow","dig","cat","moose","rat","fish","elephant","giraffe","lion","tiger","monkey","bear","dinosaur","bird","squirrel","ferret","chinchilla","hamster","snake","owl","peacock","","","","","","","","","","","","","",""
"bird","elephant","dog","cat","monkey","dolphin","whale","emu","raccoon","giraffe","rhino","coyote","hornet","bee","zebra","deer","possum","","","","","","","","","","","","","","","","","",""
"dog","cat","monkey","lizard","whale","jelly fish","shark","koala","sloth","gorilla","fox","tiger","lion","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","rabbit","horse","donkey","squirrel","catfish","fish","bunny","snake","monkey","ape","chimpanzee","zebra","liger","tiger","lion","","","","","","","","","","","","","","","","",""
"cheetah","lion","giraffe","elephant","coyote","leopard","dog","cat","lizard","snake","gerbil","hamster","rabbit","bunny","bird","fish","monkey","ape","chimp","dolphin","whale","","","","","","","","","","","","","",""
"dog","zebra","lion","monkey","tiger","whale","snake","bird","giraffe","bear","elephant","polar bear","spider","","","","","","","","","","","","","","","","","","","","","",""
"pig\","cow","turkey","chicken","parrot","dog","cat","fish","crab","lobster","lion","panther","cheetah","elephant","tiger","owl","hen","goose","","","","","","","","","","","","","","","","",""
"shrimp","elephant","tiger","cat","snake","dog","pigeon","dove","lion","cheetah","lizard","giraffe","goldfish","zebra","chicken","rooster","duck","cow","snail","slug","ladybug","ant","grasshopper","frog","shark","","","","","","","","","",""
"monkey","giraffe","lion","zebra","dog","cat","lizard","bat","deer","goldfish","squirrel","frog","toad","mouse","eagle","hawk","horse","bull","cow","","","","","","","","","","","","","","","",""
"goose","duck","deer","moose","bird","dog","shiba inu","monkey","gorilla","elephant","giraffe","tiger","lion","bear","emu","orangutan","sloth","elk","deer","pigeon","lizard","gecko","chameleon","snail","snake","zebra","","","","","","","","",""
"dog","cat","fish","lion","turtle","lemur","snail","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dog cat bird horse monkey gorilla moose cow frog ferret rat mouse","cat","pig","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","mouse","giraffe","stingray","elephant","rat","puppy","kitten","cub","moose","bear","","","","","","","","","","","","","","","","","","","","","","",""
"dog","cat","wolf","horse","koala","tiger","lion","elephant","rat","hamster","gerbil","turtle","bird","bird","fish","flamingo","robin","rabbit","mouse","","","","","","","","","","","","","","","",""
"bear","rabbit","deer","fish","cat","dog","elephant","mouse","dolphin","penguin","giraffe","camel","duck","turtle","boar","hippo","rhino","","","","","","","","","","","","","","","","","",""
"dog","cat","bird","mouse","alligator","bat","squirrel","rat","iguana","lizard","horse","cow","pig","chicken","alpaca","deer","sheep","goat","rooster","chick","monkey","","","","","","","","","","","","","",""
"dog","cat","mouse","tiger","bull","horse","jaguar","dinosaur","goat","snake","frog","lion","walrus","bear","deer","","","","","","","","","","","","","","","","","","","",""
